series_id                     	year	period	       value	
LAUCN280170000000003          	2010	M06	        11.9	
LAUCN280170000000003          	2011	M06	        12.3	
LAUCN280170000000003          	2012	M06	        10.8	
LAUCN280170000000003          	2013	M06	        11.7	
LAUCN280170000000003          	2014	M06	        10.4	
LAUCN280170000000003          	2015	M06	         8.3	
LAUCN280170000000004          	2010	M06	         951	
LAUCN280170000000004          	2011	M06	        1033	
LAUCN280170000000004          	2012	M06	         893	
LAUCN280170000000004          	2013	M06	         918	
LAUCN280170000000004          	2014	M06	         758	
LAUCN280170000000004          	2015	M06	         604	
LAUCN280170000000005          	2010	M06	        7052	
LAUCN280170000000005          	2011	M06	        7390	
LAUCN280170000000005          	2012	M06	        7364	
LAUCN280170000000005          	2013	M06	        6909	
LAUCN280170000000005          	2014	M06	        6548	
LAUCN280170000000005          	2015	M06	        6700	
LAUCN280170000000006          	2010	M06	        8003	
LAUCN280170000000006          	2011	M06	        8423	
LAUCN280170000000006          	2012	M06	        8257	
LAUCN280170000000006          	2013	M06	        7827	
LAUCN280170000000006          	2014	M06	        7306	
LAUCN280170000000006          	2015	M06	        7304	
LAUCN280190000000003          	2010	M06	        12.5	
LAUCN280190000000003          	2011	M06	        11.6	
LAUCN280190000000003          	2012	M06	        10.1	
LAUCN280190000000003          	2013	M06	         9.6	
LAUCN280190000000003          	2014	M06	         9.6	
LAUCN280190000000003          	2015	M06	         7.1	
LAUCN280190000000004          	2010	M06	         456	
LAUCN280190000000004          	2011	M06	         443	
LAUCN280190000000004          	2012	M06	         377	
LAUCN280190000000004          	2013	M06	         369	
LAUCN280190000000004          	2014	M06	         339	
LAUCN280190000000004          	2015	M06	         272	
LAUCN280190000000005          	2010	M06	        3195	
LAUCN280190000000005          	2011	M06	        3381	
LAUCN280190000000005          	2012	M06	        3358	
LAUCN280190000000005          	2013	M06	        3465	
LAUCN280190000000005          	2014	M06	        3178	
LAUCN280190000000005          	2015	M06	        3540	
LAUCN280190000000006          	2010	M06	        3651	
LAUCN280190000000006          	2011	M06	        3824	
LAUCN280190000000006          	2012	M06	        3735	
LAUCN280190000000006          	2013	M06	        3834	
LAUCN280190000000006          	2014	M06	        3517	
LAUCN280190000000006          	2015	M06	        3812	
LAUCN280210000000003          	2010	M06	        18.8	
LAUCN280210000000003          	2011	M06	        18.9	
LAUCN280210000000003          	2012	M06	        18.2	
LAUCN280210000000003          	2013	M06	        19.7	
LAUCN280210000000003          	2014	M06	        17.0	
LAUCN280210000000003          	2015	M06	        14.8	
LAUCN280210000000004          	2010	M06	         689	
LAUCN280210000000004          	2011	M06	         711	
LAUCN280210000000004          	2012	M06	         652	
LAUCN280210000000004          	2013	M06	         669	
LAUCN280210000000004          	2014	M06	         542	
LAUCN280210000000004          	2015	M06	         478	
LAUCN280210000000005          	2010	M06	        2971	
LAUCN280210000000005          	2011	M06	        3058	
LAUCN280210000000005          	2012	M06	        2940	
LAUCN280210000000005          	2013	M06	        2725	
LAUCN280210000000005          	2014	M06	        2640	
LAUCN280210000000005          	2015	M06	        2749	
LAUCN280210000000006          	2010	M06	        3660	
LAUCN280210000000006          	2011	M06	        3769	
LAUCN280210000000006          	2012	M06	        3592	
LAUCN280210000000006          	2013	M06	        3394	
LAUCN280210000000006          	2014	M06	        3182	
LAUCN280210000000006          	2015	M06	        3227	
LAUCN280230000000003          	2010	M06	        12.8	
LAUCN280230000000003          	2011	M06	        13.3	
LAUCN280230000000003          	2012	M06	        12.2	
LAUCN280230000000003          	2013	M06	        11.1	
LAUCN280230000000003          	2014	M06	         9.9	
LAUCN280230000000003          	2015	M06	         9.1	
LAUCN280230000000004          	2010	M06	         850	
LAUCN280230000000004          	2011	M06	         906	
LAUCN280230000000004          	2012	M06	         825	
LAUCN280230000000004          	2013	M06	         758	
LAUCN280230000000004          	2014	M06	         629	
LAUCN280230000000004          	2015	M06	         559	
LAUCN280230000000005          	2010	M06	        5810	
LAUCN280230000000005          	2011	M06	        5916	
LAUCN280230000000005          	2012	M06	        5944	
LAUCN280230000000005          	2013	M06	        6060	
LAUCN280230000000005          	2014	M06	        5734	
LAUCN280230000000005          	2015	M06	        5596	
LAUCN280230000000006          	2010	M06	        6660	
LAUCN280230000000006          	2011	M06	        6822	
LAUCN280230000000006          	2012	M06	        6769	
LAUCN280230000000006          	2013	M06	        6818	
LAUCN280230000000006          	2014	M06	        6363	
LAUCN280230000000006          	2015	M06	        6155	
LAUCN280250000000003          	2010	M06	        16.4	
LAUCN280250000000003          	2011	M06	        16.0	
LAUCN280250000000003          	2012	M06	        15.1	
LAUCN280250000000003          	2013	M06	        17.0	
LAUCN280250000000003          	2014	M06	        14.9	
LAUCN280250000000003          	2015	M06	        10.8	
LAUCN280250000000004          	2010	M06	        1402	
LAUCN280250000000004          	2011	M06	        1396	
LAUCN280250000000004          	2012	M06	        1300	
LAUCN280250000000004          	2013	M06	        1449	
LAUCN280250000000004          	2014	M06	        1193	
LAUCN280250000000004          	2015	M06	         871	
LAUCN280250000000005          	2010	M06	        7156	
LAUCN280250000000005          	2011	M06	        7323	
LAUCN280250000000005          	2012	M06	        7314	
LAUCN280250000000005          	2013	M06	        7083	
LAUCN280250000000005          	2014	M06	        6818	
LAUCN280250000000005          	2015	M06	        7194	
LAUCN280250000000006          	2010	M06	        8558	
LAUCN280250000000006          	2011	M06	        8719	
LAUCN280250000000006          	2012	M06	        8614	
LAUCN280250000000006          	2013	M06	        8532	
LAUCN280250000000006          	2014	M06	        8011	
LAUCN280250000000006          	2015	M06	        8065	
LAUCN280270000000003          	2010	M06	        14.4	
LAUCN280270000000003          	2011	M06	        15.2	
LAUCN280270000000003          	2012	M06	        14.0	
LAUCN280270000000003          	2013	M06	        14.4	
LAUCN280270000000003          	2014	M06	        13.0	
LAUCN280270000000003          	2015	M06	        11.6	
LAUCN280270000000004          	2010	M06	        1487	
LAUCN280270000000004          	2011	M06	        1619	
LAUCN280270000000004          	2012	M06	        1422	
LAUCN280270000000004          	2013	M06	        1422	
LAUCN280270000000004          	2014	M06	        1250	
LAUCN280270000000004          	2015	M06	        1106	
LAUCN280270000000005          	2010	M06	        8835	
LAUCN280270000000005          	2011	M06	        9067	
LAUCN280270000000005          	2012	M06	        8719	
LAUCN280270000000005          	2013	M06	        8479	
LAUCN280270000000005          	2014	M06	        8353	
LAUCN280270000000005          	2015	M06	        8447	
LAUCN280270000000006          	2010	M06	       10322	
LAUCN280270000000006          	2011	M06	       10686	
LAUCN280270000000006          	2012	M06	       10141	
LAUCN280270000000006          	2013	M06	        9901	
LAUCN280270000000006          	2014	M06	        9603	
LAUCN280270000000006          	2015	M06	        9553	
LAUCN280290000000003          	2010	M06	        12.3	
LAUCN280290000000003          	2011	M06	        12.4	
LAUCN280290000000003          	2012	M06	        11.9	
LAUCN280290000000003          	2013	M06	        11.8	
LAUCN280290000000003          	2014	M06	        10.0	
LAUCN280290000000003          	2015	M06	         8.2	
LAUCN280290000000004          	2010	M06	        1491	
LAUCN280290000000004          	2011	M06	        1546	
LAUCN280290000000004          	2012	M06	        1436	
LAUCN280290000000004          	2013	M06	        1376	
LAUCN280290000000004          	2014	M06	        1129	
LAUCN280290000000004          	2015	M06	         940	
LAUCN280290000000005          	2010	M06	       10632	
LAUCN280290000000005          	2011	M06	       10889	
LAUCN280290000000005          	2012	M06	       10609	
LAUCN280290000000005          	2013	M06	       10311	
LAUCN280290000000005          	2014	M06	       10198	
LAUCN280290000000005          	2015	M06	       10525	
LAUCN280290000000006          	2010	M06	       12123	
LAUCN280290000000006          	2011	M06	       12435	
LAUCN280290000000006          	2012	M06	       12045	
LAUCN280290000000006          	2013	M06	       11687	
LAUCN280290000000006          	2014	M06	       11327	
LAUCN280290000000006          	2015	M06	       11465	
LAUCN280310000000003          	2010	M06	        10.1	
LAUCN280310000000003          	2011	M06	        10.0	
LAUCN280310000000003          	2012	M06	         9.4	
LAUCN280310000000003          	2013	M06	         8.7	
LAUCN280310000000003          	2014	M06	         7.2	
LAUCN280310000000003          	2015	M06	         6.6	
LAUCN280310000000004          	2010	M06	         853	
LAUCN280310000000004          	2011	M06	         877	
LAUCN280310000000004          	2012	M06	         802	
LAUCN280310000000004          	2013	M06	         713	
LAUCN280310000000004          	2014	M06	         586	
LAUCN280310000000004          	2015	M06	         539	
LAUCN280310000000005          	2010	M06	        7610	
LAUCN280310000000005          	2011	M06	        7870	
